"","UF","status","n","year","week","min","max"
"7063","Brasil","Dado estável. Sujeito a pequenas alterações.","11",2013,45,"11","11"
"7064","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7065","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7066","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7067","Goiás","Dado estável. Sujeito a pequenas alterações.","2",2013,45,"2","2"
"7068","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7069","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7070","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7071","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7072","Paraná","Dado estável. Sujeito a pequenas alterações.","2",2013,45,"2","2"
"7073","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7074","Pará","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7075","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7076","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7077","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7078","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7079","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7080","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7081","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7082","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","2",2013,45,"2","2"
"7083","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2013,45,"0","0"
"7084","São Paulo","Dado estável. Sujeito a pequenas alterações.","5",2013,45,"5","5"
