"","UF","status","n","year","week","min","max"
"65","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"66","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"67","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"68","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"69","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"70","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"71","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"72","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"73","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"74","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"75","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"76","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"77","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"78","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"79","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"80","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"81","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"82","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"83","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"84","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"85","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,3,"0","0"
"86","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"87","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"88","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"89","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"90","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"91","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"92","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"93","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"94","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
"95","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,4,"0","0"
